Timestamp,Expected Frames Per Second,Actual Frames Per Second,Virtual Memory Size,Resident Memory Size,Shared Memory Size
2024-06-02 16:46:12,10,8,567.53,141.58,72.18
2024-06-02 16:47:12,10,9,568.65,146.74,75.7
2024-06-02 16:48:11,10,11,570.83,147.91,75.7
2024-06-02 16:49:11,10,10,569.79,148.18,75.7
2024-06-02 16:50:11,10,11,569.79,148.12,75.7
2024-06-02 16:51:10,10,10,569.79,148.25,75.7
2024-06-02 16:52:10,10,11,569.79,148.29,75.7
2024-06-02 16:53:09,10,11,569.25,147.8,75.7
2024-06-02 16:54:09,10,11,569.79,148.15,75.7
2024-06-02 16:55:08,10,11,569.79,148.25,75.7
2024-06-02 16:56:08,10,11,569.25,147.46,75.7
2024-06-02 16:57:08,10,11,569.79,148.22,75.7
2024-06-02 16:58:07,10,11,569.79,148.37,75.7
2024-06-02 16:59:07,10,10,569.79,147.96,75.7
2024-06-02 17:00:06,10,10,569.79,148.39,75.7
2024-06-02 17:01:06,10,9,569.79,148.18,75.7
2024-06-02 17:02:05,10,11,569.25,147.64,75.7
2024-06-02 17:03:05,10,11,569.79,148.12,75.7
2024-06-02 17:04:05,10,11,569.79,148.15,75.7
2024-06-02 17:05:04,10,11,569.25,147.74,75.7
2024-06-02 17:06:04,10,11,569.79,148.21,75.7
2024-06-02 17:07:03,10,11,569.79,148.17,75.7
2024-06-02 17:08:03,10,11,569.25,147.66,75.7
2024-06-02 17:09:02,10,11,569.79,148.3,75.7
2024-06-02 17:10:02,10,11,569.79,148.35,75.7
2024-06-02 17:11:02,10,11,569.25,147.5,75.7
2024-06-02 17:12:01,10,11,569.79,148.0,75.7
2024-06-02 17:13:01,10,11,569.79,148.1,75.7
2024-06-02 17:14:00,10,11,569.25,147.75,75.7
2024-06-02 17:15:00,10,10,569.25,147.59,75.7
2024-06-02 17:15:59,10,10,569.79,148.02,75.7
2024-06-02 17:16:59,10,11,569.25,147.6,75.7
2024-06-02 17:17:59,10,11,569.79,148.29,75.7
2024-06-02 17:18:58,10,11,569.79,147.95,75.7
2024-06-02 17:19:58,10,11,569.25,147.77,75.7
2024-06-02 17:20:57,10,11,570.23,148.54,75.7
2024-06-02 17:21:57,10,11,571.52,149.16,75.7
2024-06-02 17:22:56,10,10,571.52,149.34,75.7
2024-06-02 17:23:56,10,10,571.71,149.52,75.7
2024-06-02 17:24:56,10,10,569.91,148.31,75.7
2024-06-02 17:25:55,10,11,570.45,148.75,75.7
