Timestamp,Start,Duration
2024-04-18 17:07:41,2024-04-18 17:07:18,0:00:23
2024-04-18 17:07:52,2024-04-18 17:07:42,0:00:10
2024-04-18 17:08:12,2024-04-18 17:08:01,0:00:11
2024-04-18 17:08:35,2024-04-18 17:08:24,0:00:11
2024-04-18 17:09:03,2024-04-18 17:08:36,0:00:27
2024-04-18 17:10:29,2024-04-18 17:09:37,0:00:52
2024-04-18 17:11:14,2024-04-18 17:10:50,0:00:24
2024-04-18 17:11:41,2024-04-18 17:11:26,0:00:15
2024-04-18 17:15:01,2024-04-18 17:14:29,0:00:32
2024-04-18 17:15:17,2024-04-18 17:15:04,0:00:13
2024-04-18 17:16:02,2024-04-18 17:15:23,0:00:39
2024-04-18 17:17:28,2024-04-18 17:16:14,0:01:14
2024-04-18 17:17:38,2024-04-18 17:17:29,0:00:09
2024-04-18 17:18:01,2024-04-18 17:17:47,0:00:14
2024-04-18 17:19:48,2024-04-18 17:19:38,0:00:10
2024-04-18 17:20:58,2024-04-18 17:20:17,0:00:41
2024-04-18 17:21:29,2024-04-18 17:21:08,0:00:21
2024-04-18 17:22:01,2024-04-18 17:21:33,0:00:28
2024-04-18 17:22:45,2024-04-18 17:22:33,0:00:12
2024-04-18 17:26:33,2024-04-18 17:26:06,0:00:27
2024-04-18 17:26:56,2024-04-18 17:26:35,0:00:21
2024-04-18 17:28:07,2024-04-18 17:26:58,0:01:09
2024-04-18 17:28:43,2024-04-18 17:28:13,0:00:30
2024-04-18 17:29:08,2024-04-18 17:28:58,0:00:10
2024-04-18 17:29:28,2024-04-18 17:29:13,0:00:15
2024-04-18 17:30:05,2024-04-18 17:29:39,0:00:26
2024-04-18 17:30:42,2024-04-18 17:30:22,0:00:20
2024-04-18 17:30:59,2024-04-18 17:30:48,0:00:11
2024-04-18 17:31:12,2024-04-18 17:31:00,0:00:12
2024-04-18 17:32:06,2024-04-18 17:31:40,0:00:26
2024-04-18 17:33:02,2024-04-18 17:32:29,0:00:33
2024-04-18 17:33:42,2024-04-18 17:33:11,0:00:31
2024-04-18 17:34:02,2024-04-18 17:33:50,0:00:12
2024-04-18 17:35:02,2024-04-18 17:34:02,0:01:00
2024-04-18 17:35:53,2024-04-18 17:35:06,0:00:47
2024-04-18 17:37:05,2024-04-18 17:36:36,0:00:29
2024-04-18 17:37:26,2024-04-18 17:37:12,0:00:14
2024-04-18 17:38:04,2024-04-18 17:37:54,0:00:10
2024-04-18 17:38:23,2024-04-18 17:38:11,0:00:12
2024-04-18 17:38:55,2024-04-18 17:38:44,0:00:11
2024-04-18 17:39:17,2024-04-18 17:39:08,0:00:09
