Timestamp,Trigger Point,Trigger Point Base,Subtraction History,Subtraction Threshold
2024-03-08 11:17:18,70,40,100,40
2024-03-08 11:17:26,70,40,100,40
2024-03-08 11:19:11,70,40,100,40
2024-03-08 12:00:25,70,40,100,40
2024-03-08 12:04:02,70,40,100,40
2024-03-08 12:56:34,70,40,100,40
2024-03-08 12:57:05,70,40,100,40
2024-03-08 13:24:04,70,40,100,40
2024-03-08 13:42:52,70,40,100,40
2024-03-08 13:44:29,70,40,100,40
2024-03-08 13:59:41,70,40,100,40
2024-03-08 13:59:52,70,40,100,40
2024-03-08 14:01:03,70,40,100,40
2024-03-08 14:15:44,70,40,100,40
2024-03-08 14:22:17,70,40,100,40
2024-03-08 14:26:55,70,40,100,40
2024-03-08 14:27:12,70,40,100,40
2024-03-08 14:27:40,70,40,100,40
2024-03-08 14:28:36,70,40,100,40
2024-03-08 14:29:53,70,40,100,40
2024-03-08 14:31:02,70,40,100,40
2024-03-08 14:32:01,70,40,100,40
2024-03-08 14:32:58,70,40,100,40
2024-03-08 14:33:05,70,40,100,40
2024-03-08 14:33:34,70,40,100,40
2024-03-08 14:46:42,70,40,100,40
2024-03-08 14:46:53,70,40,100,40
2024-03-08 14:47:11,70,40,100,40
2024-03-08 14:55:27,70,40,100,40
2024-03-08 14:59:44,70,40,100,40
2024-03-08 15:01:43,70,40,100,40
2024-03-08 15:02:15,70,40,100,40
2024-03-08 15:10:22,70,40,100,40
2024-03-09 10:07:55,200,40,100,40
2024-03-09 10:08:45,200,40,100,40
2024-03-09 10:09:03,200,40,100,40
2024-03-09 10:16:32,200,40,100,40
2024-03-09 10:21:52,200,40,100,40
2024-03-09 10:22:51,200,40,100,40
2024-03-09 10:24:53,200,40,100,40
2024-03-09 10:41:07,200,40,100,40
2024-03-09 10:43:16,200,40,100,40
2024-03-09 13:16:57,200,40,100,40
2024-03-09 13:24:20,200,40,100,40
2024-03-09 16:52:42,200,40,100,40
2024-03-09 16:52:56,200,40,100,40
2024-03-09 16:53:07,200,40,100,40
2024-03-10 08:19:56,200,40,100,40
2024-03-10 08:46:45,200,40,100,40
2024-03-10 11:03:10,200,40,100,40
2024-03-10 12:42:27,200,40,100,40
2024-03-10 12:44:48,200,40,100,40
2024-03-12 12:22:34,200,40,100,40
2024-03-12 15:01:59,200,40,100,40
2024-03-12 15:02:35,200,40,100,40
2024-03-12 15:02:42,200,40,100,40
2024-03-13 08:01:55,200,40,100,40
2024-03-13 08:03:33,200,40,100,40
2024-03-13 08:16:39,200,40,100,40
2024-03-13 08:20:29,200,40,100,40
2024-03-13 08:20:50,200,40,100,40
2024-03-13 08:21:17,200,40,100,40
2024-03-13 09:25:00,200,40,100,40
2024-03-13 09:25:25,200,40,100,40
2024-03-13 09:38:44,200,40,100,40
2024-03-13 09:40:39,200,40,100,40
2024-03-13 11:18:37,200,40,100,40
2024-03-13 15:41:38,200,40,100,40
2024-03-13 17:01:19,200,40,100,40
2024-03-14 07:15:53,200,40,100,40
2024-03-14 08:20:38,200,40,100,40
2024-03-14 08:21:52,200,40,100,40
2024-03-14 08:23:52,200,40,100,40
2024-03-14 08:24:16,200,40,100,40
2024-03-14 08:25:50,200,40,100,40
2024-03-14 09:34:02,200,40,100,40
2024-03-14 10:14:26,200,40,100,40
2024-03-14 10:15:00,200,40,100,40
2024-03-14 10:37:01,200,40,100,40
2024-03-14 10:37:49,200,40,100,40
2024-03-14 10:39:32,200,40,100,40
2024-03-14 10:47:54,200,40,100,40
2024-03-14 10:48:16,200,40,100,40
2024-03-14 10:48:33,200,40,100,40
2024-03-14 10:49:07,200,40,100,40
2024-03-14 10:52:42,200,40,100,40
2024-03-14 11:39:25,200,40,100,40
2024-03-14 11:48:24,200,40,100,40
2024-03-14 11:48:41,200,40,100,40
2024-03-14 11:51:33,200,40,100,40
2024-03-14 11:51:52,200,40,100,40
2024-03-14 11:53:47,200,40,100,40
2024-03-14 11:54:30,200,40,100,40
2024-03-14 12:12:50,200,40,100,40
2024-03-14 12:13:04,200,40,100,40
2024-03-14 12:13:52,200,40,100,40
2024-03-14 12:26:17,200,40,100,40
2024-03-14 12:57:51,200,40,100,40
2024-03-14 13:34:59,200,40,100,40
2024-03-14 14:00:16,200,40,100,40
2024-03-14 14:01:06,200,40,100,40
2024-03-14 15:15:45,200,40,100,40
2024-03-15 07:20:08,200,40,100,40
2024-03-15 07:20:16,200,40,100,40
2024-03-15 08:18:16,200,40,100,40
2024-03-15 08:24:32,200,40,100,40
2024-03-15 09:03:34,200,40,100,40
2024-03-15 09:05:04,200,40,100,40
2024-03-15 10:04:32,200,40,100,40
2024-03-15 10:04:44,200,40,100,40
2024-03-15 10:05:30,200,40,100,40
2024-03-15 10:05:44,200,40,100,40
2024-03-15 10:06:05,200,40,100,40
2024-03-15 10:32:45,200,40,100,40
2024-03-15 11:15:49,200,40,100,40
2024-03-15 11:20:28,200,40,100,40
2024-03-15 12:08:28,200,40,100,40
2024-03-15 12:08:48,200,40,100,40
2024-03-15 12:09:06,200,40,100,40
2024-03-15 12:09:44,200,40,100,40
2024-03-15 12:34:43,200,40,100,40
2024-03-15 12:34:58,200,40,100,40
2024-03-15 12:36:43,200,40,100,40
2024-03-15 12:38:24,200,40,100,40
2024-03-15 12:53:30,200,40,100,40
2024-03-15 13:32:12,200,40,100,40
2024-03-15 14:08:08,200,40,100,40
2024-03-15 14:09:41,200,40,100,40
2024-03-15 14:12:38,200,40,100,40
2024-03-15 14:50:23,200,40,100,40
2024-03-15 14:51:30,200,40,100,40
2024-03-15 16:05:15,200,40,100,40
2024-03-15 16:07:46,200,40,100,40
2024-03-15 16:13:37,200,40,100,40
2024-03-15 16:16:17,200,40,100,40
2024-03-15 16:18:55,200,40,100,40
2024-03-15 17:47:46,200,40,100,40
2024-03-15 17:48:48,200,40,100,40
2024-03-16 07:05:46,200,40,100,40
2024-03-16 08:01:25,200,40,100,40
2024-03-16 08:01:37,200,40,100,40
2024-03-16 08:01:49,200,40,100,40
2024-03-16 08:02:04,200,40,100,40
2024-03-16 08:02:26,200,40,100,40
2024-03-16 08:02:58,200,40,100,40
2024-03-16 08:03:17,200,40,100,40
2024-03-16 08:03:39,200,40,100,40
2024-03-16 08:04:23,200,40,100,40
2024-03-16 08:04:43,200,40,100,40
2024-03-16 08:05:32,200,40,100,40
2024-03-16 08:17:30,200,40,100,40
2024-03-16 08:30:54,200,40,100,40
2024-03-16 08:31:03,200,40,100,40
2024-03-16 08:31:11,200,40,100,40
2024-03-16 08:31:22,200,40,100,40
2024-03-16 08:31:39,200,40,100,40
2024-03-16 08:31:53,200,40,100,40
2024-03-16 08:32:34,200,40,100,40
2024-03-16 08:33:02,200,40,100,40
2024-03-16 08:33:15,200,40,100,40
2024-03-16 08:33:28,200,40,100,40
2024-03-16 08:33:42,200,40,100,40
2024-03-16 08:35:08,200,40,100,40
2024-03-16 08:35:25,200,40,100,40
2024-03-16 08:35:39,200,40,100,40
2024-03-16 08:35:58,200,40,100,40
2024-03-16 09:55:21,200,40,100,40
2024-03-16 09:56:49,200,40,100,40
2024-03-16 10:51:13,200,40,100,40
2024-03-16 10:51:53,200,40,100,40
2024-03-16 10:52:22,200,40,100,40
2024-03-16 10:52:42,200,40,100,40
2024-03-16 11:12:18,200,40,100,40
2024-03-16 11:53:50,200,40,100,40
2024-03-16 11:54:45,200,40,100,40
2024-03-16 12:21:03,200,40,100,40
2024-03-16 12:22:17,200,40,100,40
2024-03-16 13:16:16,200,40,100,40
2024-03-17 07:06:42,200,40,100,40
2024-03-17 09:30:38,200,40,100,40
2024-03-17 09:33:18,200,40,100,40
2024-03-17 10:33:50,200,40,100,40
2024-03-17 10:34:01,200,40,100,40
2024-03-17 10:34:21,200,40,100,40
2024-03-17 10:34:45,200,40,100,40
2024-03-17 10:37:18,200,40,100,40
2024-03-17 10:38:31,200,40,100,40
2024-03-17 11:05:04,200,40,100,40
2024-03-17 11:06:02,200,40,100,40
2024-03-17 11:57:39,200,40,100,40
2024-03-17 12:21:54,200,40,100,40
2024-03-17 12:26:05,200,40,100,40
2024-03-17 12:26:25,200,40,100,40
2024-03-17 12:31:02,200,40,100,40
2024-03-17 12:31:55,200,40,100,40
2024-03-17 13:23:55,200,40,100,40
2024-03-17 13:30:12,200,40,100,40
2024-03-17 15:14:23,200,40,100,40
2024-03-17 15:16:22,200,40,100,40
2024-03-17 15:33:08,200,40,100,40
2024-03-17 15:33:37,200,40,100,40
2024-03-18 06:39:31,200,40,100,40
2024-03-18 06:39:40,200,40,100,40
2024-03-18 06:39:59,200,40,100,40
2024-03-18 06:40:16,200,40,100,40
2024-03-18 06:49:06,200,40,100,40
2024-03-18 06:49:17,200,40,100,40
2024-03-18 06:49:58,200,40,100,40
2024-03-18 06:50:11,200,40,100,40
2024-03-18 06:50:19,200,40,100,40
2024-03-18 06:50:39,200,40,100,40
2024-03-18 06:51:02,200,40,100,40
2024-03-18 06:51:09,200,40,100,40
2024-03-18 06:51:30,200,40,100,40
2024-03-18 06:52:03,200,40,100,40
2024-03-18 07:00:18,200,40,100,40
2024-03-18 07:01:14,200,40,100,40
2024-03-18 07:01:27,200,40,100,40
2024-03-18 07:01:42,200,40,100,40
2024-03-18 07:02:00,200,40,100,40
2024-03-18 07:17:28,200,40,100,40
2024-03-18 07:17:47,200,40,100,40
2024-03-18 07:18:16,200,40,100,40
2024-03-18 07:18:47,200,40,100,40
2024-03-18 07:19:04,200,40,100,40
2024-03-18 07:19:40,200,40,100,40
2024-03-18 07:20:30,200,40,100,40
2024-03-18 07:21:38,200,40,100,40
2024-03-18 07:57:13,200,40,100,40
2024-03-18 07:57:20,200,40,100,40
2024-03-18 07:57:32,200,40,100,40
2024-03-18 08:08:59,200,40,100,40
2024-03-18 08:09:34,200,40,100,40
2024-03-18 08:11:25,200,40,100,40
2024-03-18 10:07:32,200,40,100,40
2024-03-18 10:08:53,200,40,100,40
2024-03-18 10:09:25,200,40,100,40
2024-03-18 10:12:40,200,40,100,40
2024-03-18 10:13:04,200,40,100,40
2024-03-18 10:14:11,200,40,100,40
2024-03-18 10:15:22,200,40,100,40
2024-03-18 10:15:32,200,40,100,40
2024-03-18 10:21:25,200,40,100,40
2024-03-18 10:25:30,200,40,100,40
2024-03-18 10:26:03,200,40,100,40
2024-03-18 10:26:40,200,40,100,40
2024-03-18 10:26:52,200,40,100,40
2024-03-18 10:29:14,200,40,100,40
2024-03-18 10:29:22,200,40,100,40
2024-03-18 10:29:52,200,40,100,40
2024-03-18 10:30:19,200,40,100,40
2024-03-18 10:32:04,200,40,100,40
2024-03-18 10:44:29,100,20,100,40
2024-03-18 10:46:19,100,20,100,40
2024-03-18 10:48:35,100,20,100,40
2024-03-18 10:49:52,100,20,100,40
2024-03-18 10:51:48,100,20,100,40
2024-03-18 10:55:30,100,20,100,40
2024-03-18 11:08:18,100,20,100,40
2024-03-18 11:21:14,100,20,100,40
2024-03-18 11:22:24,100,20,100,40
2024-03-18 11:23:08,100,20,100,40
2024-03-18 11:32:07,100,20,100,40
